2022-07-04 18:52:04,1289,2010-044,0:1,0,1
2022-07-04 18:52:04,1289,2010-044,0:3,0,3
2022-07-04 18:54:06,1289,2010-044,14:1,14,1
2022-07-04 18:54:06,1289,2010-044,15:1,15,1
2022-07-04 18:54:06,1289,2010-044,35:3,1,3
2022-07-04 18:54:06,1289,2010-044,37:3,3,3
2022-07-04 18:56:27,12,1001-238,17:1,17,1
2022-07-04 18:56:27,12,1001-238,18:1,18,1
2022-07-04 18:56:27,12,1001-238,22:1,22,1
2022-07-04 18:56:27,12,1001-238,27:1,27,1
2022-07-04 18:56:27,12,1001-238,28:2,1,2
2022-07-04 18:56:27,12,1001-238,29:2,2,2
2022-07-04 18:57:11,16,4111-005,1:1,1,1
2022-07-04 18:57:11,16,4111-005,2:1,2,1
2022-07-04 18:57:11,16,4111-005,3:1,3,1
2022-07-04 18:57:11,16,4111-005,4:1,4,1
2022-07-04 18:57:11,16,4111-005,5:1,5,1
2022-07-04 18:57:11,16,4111-005,32:2,5,2
2022-07-04 18:57:11,16,4111-005,33:2,6,2
2022-07-04 21:51:03,14,1001-117,10:1,10,1
2022-07-04 21:51:03,14,1001-117,11:1,11,1
2022-07-04 21:51:04,14,1001-117,12:1,12,1
2022-07-04 21:51:04,14,1001-117,13:1,13,1
2022-07-04 21:51:04,14,1001-117,32:2,5,2
2022-07-04 21:51:04,14,1001-117,33:2,6,2
2022-07-04 21:52:12,20,1001-231,9:1,9,1
2022-07-04 21:52:12,20,1001-231,10:1,10,1
2022-07-04 21:52:12,20,1001-231,11:1,11,1
2022-07-04 21:52:12,20,1001-231,12:1,12,1
2022-07-04 21:52:12,20,1001-231,13:1,13,1
2022-07-04 21:52:12,20,1001-231,14:1,14,1
2022-07-04 21:52:12,20,1001-231,15:1,15,1
2022-07-04 21:52:12,20,1001-231,16:1,16,1
2022-07-04 21:52:12,20,1001-231,17:1,17,1
2022-07-04 21:52:12,20,1001-231,18:1,18,1
2022-07-04 21:52:12,20,1001-231,19:1,19,1
2022-07-04 21:52:12,20,1001-231,20:1,20,1
2022-07-04 21:52:12,20,1001-231,21:1,21,1
2022-07-04 21:52:12,20,1001-231,22:1,22,1
2022-07-04 21:52:12,20,1001-231,23:1,23,1
2022-07-04 21:52:12,20,1001-231,24:1,24,1
2022-07-04 21:52:12,20,1001-231,25:1,25,1
2022-07-04 21:52:12,20,1001-231,26:1,26,1
2022-07-04 21:52:12,20,1001-231,27:1,27,1
2022-07-04 21:52:12,20,1001-231,29:2,2,2
2022-07-04 21:52:12,20,1001-231,30:2,3,2
2022-07-04 21:57:10,1289,2010-044,2:1,2,1
2022-07-04 21:57:10,1289,2010-044,3:1,3,1
2022-07-04 21:57:10,1289,2010-044,4:1,4,1
2022-07-04 21:57:10,1289,2010-044,5:1,5,1
2022-07-04 21:57:10,1289,2010-044,6:1,6,1
2022-07-04 21:57:10,1289,2010-044,7:1,7,1
2022-07-04 21:57:10,1289,2010-044,8:1,8,1
2022-07-04 21:57:10,1289,2010-044,9:1,9,1
2022-07-04 21:57:10,1289,2010-044,10:1,10,1
2022-07-04 21:57:10,1289,2010-044,35:3,1,3
2022-07-04 21:57:10,1289,2010-044,36:3,2,3
